638935.159;485769.262;86.848
638935.431;485795.549;84.273
638920.490;485802.616;85.190
638919.431;485795.876;87.569
638913.566;485775.728;84.256
638906.286;485812.881;85.457
638938.704;485815.404;86.853
638937.034;485752.194;85.519
638918.383;485755.988;85.052
638920.155;485748.784;86.942
638906.436;485767.457;83.124
638950.321;485828.996;87.712
638920.585;485830.772;86.296
638907.477;485810.566;85.521
638897.767;485831.929;85.698
638889.989;485787.692;83.253
638888.027;485812.250;86.882
638909.380;485775.452;85.412
638911.757;485790.842;86.342
638928.352;485788.213;84.621
