639030.512;485559.769;84.843
639060.154;485524.938;85.450
639052.832;485580.064;84.236
639026.735;485588.015;86.058
639004.529;485604.061;84.664
639005.222;485579.089;86.366
639005.803;485529.477;86.059
639015.883;485529.552;84.844
639024.147;485575.349;85.145
639050.678;485610.714;84.421
639036.015;485604.696;84.342
639007.777;485584.937;85.122
639044.008;485551.934;85.452
639053.642;485532.145;85.238
639031.053;485534.207;86.060
639003.543;485547.051;85.846
639001.766;485564.046;83.806
639039.124;485578.594;83.304
639057.479;485527.850;83.989
639058.322;485612.825;83.726
